address	name	signature
EXTERNAL:00000001	ADVAPI32.DLL::EventUnregister	ULONG __stdcall EventUnregister(REGHANDLE RegHandle)
EXTERNAL:00000002	ADVAPI32.DLL::EventRegister	ULONG __stdcall EventRegister(LPCGUID ProviderId, PENABLECALLBACK EnableCallback, PVOID CallbackContext, PREGHANDLE RegHandle)
EXTERNAL:00000003	ADVAPI32.DLL::EventSetInformation	undefined EventSetInformation(void)
EXTERNAL:00000004	ADVAPI32.DLL::EventWriteTransfer	ULONG __stdcall EventWriteTransfer(REGHANDLE RegHandle, PCEVENT_DESCRIPTOR EventDescriptor, LPCGUID ActivityId, LPCGUID RelatedActivityId, ULONG UserDataCount, PEVENT_DATA_DESCRIPTOR UserData)
EXTERNAL:00000005	ADVAPI32.DLL::GetLengthSid	DWORD __stdcall GetLengthSid(PSID pSid)
EXTERNAL:00000006	ADVAPI32.DLL::CopySid	BOOL __stdcall CopySid(DWORD nDestinationSidLength, PSID pDestinationSid, PSID pSourceSid)
EXTERNAL:00000008	ADVAPI32.DLL::IsValidSid	BOOL __stdcall IsValidSid(PSID pSid)
EXTERNAL:00000009	ADVAPI32.DLL::EventActivityIdControl	ULONG __stdcall EventActivityIdControl(ULONG ControlCode, LPGUID ActivityId)
EXTERNAL:0000000a	KERNEL32.DLL::GetProcessHeap	HANDLE __stdcall GetProcessHeap(void)
EXTERNAL:0000000b	KERNEL32.DLL::GetProcAddress	FARPROC __stdcall GetProcAddress(HMODULE hModule, LPCSTR lpProcName)
EXTERNAL:0000000c	KERNEL32.DLL::GetModuleHandleW	HMODULE __stdcall GetModuleHandleW(LPCWSTR lpModuleName)
EXTERNAL:0000000d	KERNEL32.DLL::HeapAlloc	LPVOID __stdcall HeapAlloc(HANDLE hHeap, DWORD dwFlags, SIZE_T dwBytes)
EXTERNAL:0000000e	KERNEL32.DLL::IsDebuggerPresent	BOOL __stdcall IsDebuggerPresent(void)
EXTERNAL:0000000f	KERNEL32.DLL::ReleaseSRWLockExclusive	void __stdcall ReleaseSRWLockExclusive(PSRWLOCK SRWLock)
EXTERNAL:00000010	KERNEL32.DLL::AcquireSRWLockExclusive	void __stdcall AcquireSRWLockExclusive(PSRWLOCK SRWLock)
EXTERNAL:00000011	KERNEL32.DLL::InitOnceBeginInitialize	BOOL __stdcall InitOnceBeginInitialize(LPINIT_ONCE lpInitOnce, DWORD dwFlags, PBOOL fPending, LPVOID * lpContext)
EXTERNAL:00000012	KERNEL32.DLL::InitOnceComplete	BOOL __stdcall InitOnceComplete(LPINIT_ONCE lpInitOnce, DWORD dwFlags, LPVOID lpContext)
EXTERNAL:00000013	KERNEL32.DLL::GetCurrentProcessId	DWORD __stdcall GetCurrentProcessId(void)
EXTERNAL:00000014	KERNEL32.DLL::CreateMutexExW	HANDLE __stdcall CreateMutexExW(LPSECURITY_ATTRIBUTES lpMutexAttributes, LPCWSTR lpName, DWORD dwFlags, DWORD dwDesiredAccess)
EXTERNAL:00000015	KERNEL32.DLL::ReleaseMutex	BOOL __stdcall ReleaseMutex(HANDLE hMutex)
