address	type	length	references	value
1800e5e00	string	27	4	client\src\port_message.rs
1800e5e58	string	67	1	driver should return event capabilities output of the correct size
1800e5ed8	string	72	0	driver should return reference event object output of the correct size
1800e5f50	string	27	1	library\alloc\src\alloc.rs
1800e5f88	string	33	1	library\alloc\src\raw_vec\mod.rs
1800e5fc8	string	48	1	library\core\src\slice\sort\shared\smallsort.rs
1800e6010	string	32	9	client\src\filter\comparison.rs
1800e6030	string	24	0	ConvertStringSidToSidW
1800e61c8	string	29	2	CopySidclient\src\exports.rs
1800e6238	string	25	3	client\src\collection.rs
1800e62a0	string	25	1	client\src\filter\mod.rs
1800e62f0	string	28	5	client\src\filter\to_bdd.rs
1800e6960	string	24	6	crates\bdd\src\apply.rs
1800e6a44	string	30	1	library\core\src\cell\once.rs
1800e6a80	string	26	1	client\src\context\mod.rs
1800e6ae8	string	22	16	crates\bdd\src\lib.rs
1800e6b30	string	18	1	client\src\lib.rs
1800e6b60	string	97	1	C:\__w\1\.cargo\registry\src\pkgs.dev.azure.com-04623ce4b0629d08\hashbrown-0.16.1\src\raw\mod.rs
1800e6be0	string	31	15	crates\string_match\src\nfa.rs
1800e6d68	string	29	4	crates\sorted_map\src\lib.rs
1800e6de8	string	32	2	crates\string_match\src\trie.rs
1800e9d78	TerminatedCString	15	2	bad allocation
1800e9da0	TerminatedCString	21	2	bad array new length
1800e9f38	TerminatedCString	14	2	bad exception
1800e9f70	unicode	8	2	_p0
1800e9f78	unicode	4	2	h
1800e9f80	TerminatedCString	50	1	C:\__w\1\s\client\wil\wil\opensource\wil\result.h
1800e9fb8	TerminatedCString	12	1	WilError_03
1800e9fc8	TerminatedCString	18	2	EspRegisterClient
1800e9fe0	TerminatedCString	20	2	EspUnregisterClient
1800e9ff8	TerminatedCString	17	2	EspConnectClient
1800ea010	TerminatedCString	20	2	EspDisconnectClient
1800ea028	TerminatedCString	30	2	EspEnumerateRegisteredClients
1800ea048	TerminatedCString	29	2	EspEnumerateConnectedClients
1800ea068	TerminatedCString	25	2	EspQueryClientDescriptor
1800ea088	TerminatedCString	29	2	EspAllocateEventNotification
1800ea0a8	TerminatedCString	25	2	EspFreeEventNotification
1800ea0c8	TerminatedCString	24	2	EspArmEventNotification
1800ea0e0	TerminatedCString	29	2	EspCompleteEventNotification
