caller_address	caller	callsite	callee_address	callee
180001000	DriverEntry	18000101f	180420000	__security_init_cookie
180001000	DriverEntry	18000102c	180001340	wesp::impl$0::main
180001000	DriverEntry	1800010ef	1803b41d7	EtwWriteTransfer
180001000	DriverEntry	1800010fb	1803b41dd	PsRemoveLoadImageNotifyRoutine
180001000	DriverEntry	180001107	1803b41e3	PsRemoveCreateThreadNotifyRoutine
180001000	DriverEntry	180001113	1803b41e3	PsRemoveCreateThreadNotifyRoutine
180001000	DriverEntry	180001126	1803b41e9	PsSetCreateProcessNotifyRoutineEx2
180001000	DriverEntry	180001132	1803b41ef	ObUnRegisterCallbacks
180001000	DriverEntry	180001145	1803b40d0	FltCloseCommunicationPort
180001000	DriverEntry	180001157	18002b6e0	nt_types::arc::impl$7::drop<wesp_lib::EspCore>
180001000	DriverEntry	18000116c	1803b41f5	ZwClose
180001000	DriverEntry	180001175	1803b41fb	CmUnRegisterCallback
180001000	DriverEntry	18000117d	1803b4201	ExFreePool
180001000	DriverEntry	180001185	1803b4201	ExFreePool
180001000	DriverEntry	180001191	1803b40d6	FltUnregisterFilter
180001000	DriverEntry	180001196	180417264	EspFltUninitialize
180001000	DriverEntry	1800011a2	18002fad0	static_cleanup::impl$1::drop<nt_types::arc::Arc<wesp::EspState>_>
180001000	DriverEntry	1800011bd	1803b4207	EtwUnregister
180001000	DriverEntry	180001215	1803b420d	ExWaitForRundownProtectionRelease
180001000	DriverEntry	18000121d	1803b4213	ExRundownCompleted
180001000	DriverEntry	180001235	1803b420d	ExWaitForRundownProtectionRelease
180001000	DriverEntry	18000123e	18002b6e0	nt_types::arc::impl$7::drop<wesp_lib::EspCore>
180001000	DriverEntry	180001246	1803b4213	ExRundownCompleted
180001000	DriverEntry	180001263	1803b4219	ExUnsubscribeWnfStateChange
180001000	DriverEntry	180001281	1803b55e0	_guard_dispatch_icall
180001000	DriverEntry	180001291	1803b4201	ExFreePool
180001000	DriverEntry	180001299	1803b4201	ExFreePool
180001000	DriverEntry	1800012f6	1803b55b0	__security_check_cookie
180001310	wesp::panic	180001332	1803b42a0	KeBugCheckEx
180001340	wesp::impl$0::main	1800013a3	1803b55b0	__security_check_cookie
180001340	wesp::impl$0::main	180001415	1803b42a6	RtlQueryFeatureConfiguration
180001340	wesp::impl$0::main	18000145e	1803b42ac	ExInitializeRundownProtection
180001340	wesp::impl$0::main	1800014a6	1803b42b2	ExUnblockOnAddressPushLockEx
180001340	wesp::impl$0::main	1800014f8	1803b42b8	ExBlockOnAddressPushLock
180001340	wesp::impl$0::main	180001551	1803b42be	EtwRegister
180001340	wesp::impl$0::main	18000157c	1803b42c4	EtwSetInformation
180001340	wesp::impl$0::main	1800015db	1803b42ca	EtwActivityIdControl
