address	name	source
180001000	DriverEntry	IMPORTED
180001000	Ordinal_1	IMPORTED
180001000	entry	IMPORTED
180010280	fltmgr::callback::post_pnp_callback<wesp::EspState>	IMPORTED
180010280	Ordinal_47	IMPORTED
180010280	__CxxFrameHandler3	IMPORTED
180010280	fs::fileobject::AsFsFileObject::is_transient<fs::fileobject::FsFileObjectWithInstance>	IMPORTED
180010290	__CxxFrameHandler4	IMPORTED
180010290	Ordinal_48	IMPORTED
1800102a0	__GSHandlerCheck_EH4	IMPORTED
1800102a0	Ordinal_49	IMPORTED
1800165a0	EspFsDeleteStream	IMPORTED
1800165a0	Ordinal_2	IMPORTED
180016a30	EspFsFilePostCleanup	IMPORTED
180016a30	Ordinal_3	IMPORTED
180017210	EspFsFilePostCreate	IMPORTED
180017210	Ordinal_4	IMPORTED
180017d30	EspFsFilePostFsctl	IMPORTED
180017d30	Ordinal_5	IMPORTED
180018880	EspFsFilePostLockControl	IMPORTED
180018880	Ordinal_6	IMPORTED
1800194a0	EspFsFilePostOpen	IMPORTED
1800194a0	Ordinal_7	IMPORTED
18001a140	EspFsFilePostQueryDirectoryInformation	IMPORTED
18001a140	Ordinal_8	IMPORTED
18001a840	EspFsFilePostQueryInformation	IMPORTED
18001a840	Ordinal_9	IMPORTED
18001af70	EspFsFilePostQueryOpen	IMPORTED
18001af70	Ordinal_10	IMPORTED
18001b810	EspFsFilePostRead	IMPORTED
18001b810	Ordinal_11	IMPORTED
18001bf40	EspFsFilePostSetExtendedAttributes	IMPORTED
18001bf40	Ordinal_12	IMPORTED
18001c610	EspFsFilePostSetInformation	IMPORTED
18001c610	Ordinal_13	IMPORTED
18001d060	EspFsFilePostSetSecurity	IMPORTED
18001d060	Ordinal_14	IMPORTED
18001d830	EspFsFilePostWrite	IMPORTED
18001d830	Ordinal_15	IMPORTED
18001dfe0	EspFsFilePreCleanup	IMPORTED
18001dfe0	Ordinal_16	IMPORTED
18001e810	EspFsFilePreCreate	IMPORTED
18001e810	Ordinal_17	IMPORTED
18001f3a0	EspFsFilePreFsctl	IMPORTED
18001f3a0	Ordinal_18	IMPORTED
180020440	EspFsFilePreLockControl	IMPORTED
180020440	Ordinal_19	IMPORTED
180021180	EspFsFilePreQueryDirectoryInformation	IMPORTED
180021180	Ordinal_20	IMPORTED
180021980	EspFsFilePreQueryInformation	IMPORTED
180021980	Ordinal_21	IMPORTED
1800221c0	EspFsFilePreQueryOpen	IMPORTED
1800221c0	Ordinal_22	IMPORTED
180022b90	EspFsFilePreRead	IMPORTED
180022b90	Ordinal_23	IMPORTED
1800233e0	EspFsFilePreSetExtendedAttributes	IMPORTED
1800233e0	Ordinal_24	IMPORTED
180023c30	EspFsFilePreSetInformation	IMPORTED
180023c30	Ordinal_25	IMPORTED
180024760	EspFsFilePreSetSecurity	IMPORTED
180024760	Ordinal_26	IMPORTED
180025040	EspFsFilePreWrite	IMPORTED
180025040	Ordinal_27	IMPORTED
180025950	EspFsFileReleaseCompletion	IMPORTED
180025950	Ordinal_28	IMPORTED
180025ad0	EspFsHandleLoopbackEaQuery	IMPORTED
180025ad0	Ordinal_29	IMPORTED
180025cd0	EspFsInstanceTeardownComplete	IMPORTED
180025cd0	Ordinal_30	IMPORTED
180026710	EspFsKtmTransactionContextDeleted	IMPORTED
180026710	Ordinal_31	IMPORTED
180026940	EspFsMailslotPostCreate	IMPORTED
180026940	Ordinal_32	IMPORTED
1800278d0	EspFsMailslotPreCreate	IMPORTED
1800278d0	Ordinal_33	IMPORTED
1800278d0	EspFsPipePreCreate	IMPORTED
1800278d0	Ordinal_35	IMPORTED
1800278d0	EspFsVolumePostDismount	IMPORTED
1800278d0	Ordinal_38	IMPORTED
1800278d0	EspFsVolumePreDismount	IMPORTED
1800278d0	Ordinal_40	IMPORTED
1800278d0	EspKtmTransactionPostCommit	IMPORTED
1800278d0	Ordinal_42	IMPORTED
1800278d0	EspKtmTransactionPostRollback	IMPORTED
1800278d0	Ordinal_43	IMPORTED
1800279d0	EspFsPipePostCreate	IMPORTED
1800279d0	Ordinal_34	IMPORTED
180028990	EspFsSectionPostCreate	IMPORTED
180028990	Ordinal_36	IMPORTED
1800290f0	EspFsSectionPreCreate	IMPORTED
1800290f0	Ordinal_37	IMPORTED
180029950	EspFsVolumePostMount	IMPORTED
180029950	Ordinal_39	IMPORTED
180029f70	EspFsVolumePreMount	IMPORTED
180029f70	Ordinal_41	IMPORTED
18002a6f0	EspKtmTransactionPreCommit	IMPORTED
18002a6f0	Ordinal_44	IMPORTED
18002ad80	EspKtmTransactionPreRollback	IMPORTED
18002ad80	Ordinal_45	IMPORTED
18002b410	EspfsRemoveFileObject	IMPORTED
18002b410	Ordinal_46	IMPORTED
1803d61f0	_fltused	IMPORTED
1803d61f0	Ordinal_50	IMPORTED
