address	name	signature
EXTERNAL:00000001	FLTMGR.SYS::FltCloseCommunicationPort	undefined FltCloseCommunicationPort(void)
EXTERNAL:00000002	FLTMGR.SYS::FltUnregisterFilter	undefined FltUnregisterFilter(void)
EXTERNAL:00000003	FLTMGR.SYS::FltStartFiltering	undefined FltStartFiltering(void)
EXTERNAL:00000004	FLTMGR.SYS::FltQueryInformationFile	undefined FltQueryInformationFile(void)
EXTERNAL:00000005	FLTMGR.SYS::FltFsControlFile	undefined FltFsControlFile(void)
EXTERNAL:00000006	FLTMGR.SYS::FltGetFileNameInformationUnsafe	undefined FltGetFileNameInformationUnsafe(void)
EXTERNAL:00000007	FLTMGR.SYS::FltParseFileNameInformation	undefined FltParseFileNameInformation(void)
EXTERNAL:00000008	FLTMGR.SYS::FltReferenceFileNameInformation	undefined FltReferenceFileNameInformation(void)
EXTERNAL:00000009	FLTMGR.SYS::FltReleaseFileNameInformation	undefined FltReleaseFileNameInformation(void)
EXTERNAL:0000000a	FLTMGR.SYS::FltGetFileSystemType	undefined FltGetFileSystemType(void)
EXTERNAL:0000000b	FLTMGR.SYS::FltGetFileNameInformation	undefined FltGetFileNameInformation(void)
EXTERNAL:0000000c	FLTMGR.SYS::FltGetVolumeFromInstance	undefined FltGetVolumeFromInstance(void)
EXTERNAL:0000000d	FLTMGR.SYS::FltClose	undefined FltClose(void)
EXTERNAL:0000000e	FLTMGR.SYS::FltIsDirectory	undefined FltIsDirectory(void)
EXTERNAL:0000000f	FLTMGR.SYS::FltQuerySecurityObject	undefined FltQuerySecurityObject(void)
EXTERNAL:00000010	FLTMGR.SYS::FltQueryEaFile	undefined FltQueryEaFile(void)
EXTERNAL:00000011	FLTMGR.SYS::FltGetRequestorProcess	undefined FltGetRequestorProcess(void)
EXTERNAL:00000012	FLTMGR.SYS::FltGetIoPriorityHint	undefined FltGetIoPriorityHint(void)
EXTERNAL:00000013	FLTMGR.SYS::FltGetEcpListFromCallbackData	undefined FltGetEcpListFromCallbackData(void)
EXTERNAL:00000014	FLTMGR.SYS::FltSetCallbackDataDirty	undefined FltSetCallbackDataDirty(void)
EXTERNAL:00000015	FLTMGR.SYS::FltCloseClientPort	undefined FltCloseClientPort(void)
EXTERNAL:00000016	FLTMGR.SYS::FltObjectDereference	undefined FltObjectDereference(void)
EXTERNAL:00000017	FLTMGR.SYS::FltBuildDefaultSecurityDescriptor	undefined FltBuildDefaultSecurityDescriptor(void)
EXTERNAL:00000018	FLTMGR.SYS::FltCreateCommunicationPort	undefined FltCreateCommunicationPort(void)
EXTERNAL:00000019	FLTMGR.SYS::FltFreeSecurityDescriptor	undefined FltFreeSecurityDescriptor(void)
EXTERNAL:0000001a	FLTMGR.SYS::FltRegisterFilter	undefined FltRegisterFilter(void)
EXTERNAL:0000001b	FLTMGR.SYS::FltFindExtraCreateParameter	undefined FltFindExtraCreateParameter(void)
EXTERNAL:0000001c	FLTMGR.SYS::FltIsEcpFromUserMode	undefined FltIsEcpFromUserMode(void)
EXTERNAL:0000001d	FLTMGR.SYS::FltGetVolumeGuidName	undefined FltGetVolumeGuidName(void)
EXTERNAL:0000001e	FLTMGR.SYS::FltGetVolumeName	undefined FltGetVolumeName(void)
EXTERNAL:0000001f	FLTMGR.SYS::FltGetVolumeProperties	undefined FltGetVolumeProperties(void)
EXTERNAL:00000020	FLTMGR.SYS::FltQueryVolumeInformation	undefined FltQueryVolumeInformation(void)
EXTERNAL:00000021	FLTMGR.SYS::FltIsVolumeSnapshot	undefined FltIsVolumeSnapshot(void)
EXTERNAL:00000022	FLTMGR.SYS::FltObjectReference	undefined FltObjectReference(void)
EXTERNAL:00000023	FLTMGR.SYS::FltGetDiskDeviceObject	undefined FltGetDiskDeviceObject(void)
EXTERNAL:00000024	FLTMGR.SYS::FltIsVolumeWritable	undefined FltIsVolumeWritable(void)
EXTERNAL:00000026	FLTMGR.SYS::FltGetNextExtraCreateParameter	undefined FltGetNextExtraCreateParameter(void)
EXTERNAL:00000027	FLTMGR.SYS::FltGetVolumeInstanceFromName	undefined FltGetVolumeInstanceFromName(void)
