address	size	name	signature	thunk	external	noreturn
180001000	776	DriverEntry	undefined DriverEntry(void)	false	false	false
180001310	39	wesp::panic	undefined panic(void)	false	false	false
180001340	12217	wesp::impl$0::main	int __cdecl main(int _Argc, char * * _Argv, char * * _Env)	false	false	false
180004440	162	core::ptr::drop_in_place<enum2$<wesp_lib::collection::CollectionEntries>_>	undefined drop_in_place<enum2$<wesp_lib::collection::CollectionEntries>_>(void)	false	false	false
1800044f0	162	core::ptr::drop_in_place<enum2$<wesp_lib::collection::CollectionUpdates>_>	undefined drop_in_place<enum2$<wesp_lib::collection::CollectionUpdates>_>(void)	false	false	false
1800045a0	51	core::ptr::drop_in_place<enum2$<wesp::port_message::message::ClientMessage>_>	undefined drop_in_place<enum2$<wesp::port_message::message::ClientMessage>_>(void)	false	false	false
180004840	194	core::ptr::drop_in_place<wesp_lib::incoming::collection::Collection>	undefined drop_in_place<wesp_lib::incoming::collection::Collection>(void)	false	false	false
180004920	17	core::ptr::drop_in_place<enum2$<wesp_lib::property_query::OwnedPropertyQuery>_>	undefined drop_in_place<enum2$<wesp_lib::property_query::OwnedPropertyQuery>_>(void)	false	false	false
180004940	81	core::ptr::drop_in_place<wesp_lib::context_key::update::ContextKeyUpdate>	undefined drop_in_place<wesp_lib::context_key::update::ContextKeyUpdate>(void)	false	false	false
1800049a0	61	core::ptr::drop_in_place<enum2$<wesp_lib::event_object::ReferenceEventObjectKey>_>	undefined drop_in_place<enum2$<wesp_lib::event_object::ReferenceEventObjectKey>_>(void)	false	false	false
180004a00	90	core::ptr::drop_in_place<enum2$<core::option::Option<wesp_lib::recovery::BootMonitor>_>_>	undefined drop_in_place<enum2$<core::option::Option<wesp_lib::recovery::BootMonitor>_>_>(void)	false	false	false
180004a60	288	wesp::server::write_array<wesp_api_types::typedefs::_GUID,buffer::User>	undefined write_array<wesp_api_types::typedefs::_GUID,buffer::User>(void)	false	false	false
180004b80	509	wesp::server::impl$0::message<buffer::User,buffer::User>	undefined message<buffer::User,buffer::User>(void)	false	false	false
180007ba0	96	buffer::impl$1::write_at_offset	undefined write_at_offset(void)	false	false	false
180007c00	186	buffer::impl$1::write_ptr_to_offset	undefined write_ptr_to_offset(void)	false	false	false
180007cc0	339	cm::CmKeyHandle::query_security_descriptor	undefined query_security_descriptor(void)	false	false	false
180007e20	18	FUN_180007e20	undefined FUN_180007e20(void)	false	false	false
180007e40	22	FUN_180007e40	undefined FUN_180007e40(void)	false	false	false
180007e60	21	FUN_180007e60	undefined FUN_180007e60(void)	false	false	false
180007e80	482	FUN_180007e80	undefined FUN_180007e80(void)	false	false	false
180008070	2220	FUN_180008070	undefined FUN_180008070(void)	false	false	false
180008a00	475	FUN_180008a00	undefined FUN_180008a00(void)	false	false	false
180008ca0	106	FUN_180008ca0	undefined FUN_180008ca0(void)	false	false	false
180008d10	656	FUN_180008d10	undefined FUN_180008d10(void)	false	false	false
180008fe0	113	FUN_180008fe0	undefined FUN_180008fe0(void)	false	false	false
180009060	18	FUN_180009060	undefined FUN_180009060(void)	false	false	false
180009080	303	FUN_180009080	undefined FUN_180009080(void)	false	false	false
1800091b0	469	FUN_1800091b0	undefined FUN_1800091b0(void)	false	false	false
180009390	318	FUN_180009390	undefined FUN_180009390(void)	false	false	false
1800094d0	360	FUN_1800094d0	undefined FUN_1800094d0(void)	false	false	false
180009640	292	FUN_180009640	undefined FUN_180009640(void)	false	false	false
180009770	159	FUN_180009770	undefined FUN_180009770(void)	false	false	false
180009810	199	FUN_180009810	undefined FUN_180009810(void)	false	false	false
1800098e0	322	FUN_1800098e0	undefined FUN_1800098e0(void)	false	false	false
180009a30	156	FUN_180009a30	undefined FUN_180009a30(void)	false	false	false
180009ad0	158	FUN_180009ad0	undefined FUN_180009ad0(void)	false	false	false
180009b70	50	FUN_180009b70	undefined FUN_180009b70(void)	false	false	false
180009bb0	80	fltmgr::Filter::start_filtering	undefined start_filtering(void)	false	false	false
180009c00	1167	fs::fileobject::FsFileObjectApi::stream_names<fs::fileobject::FsFileObjectWithInstance>	undefined stream_names<fs::fileobject::FsFileObjectWithInstance>(void)	false	false	false
18000a0a0	1168	fs::fileobject::FsFileObjectApi::stream_names<fs::fileobject::FsEventFileObject>	undefined stream_names<fs::fileobject::FsEventFileObject>(void)	false	false	false
18000a530	661	fs::fileobject::FsFileObjectApi::fs_control_file<fs::fileobject::FsFileObjectWithInstance>	undefined fs_control_file<fs::fileobject::FsFileObjectWithInstance>(void)	false	false	false
18000a7d0	659	fs::fileobject::FsFileObjectApi::fs_control_file<fs::fileobject::FsEventFileObject>	undefined fs_control_file<fs::fileobject::FsEventFileObject>(void)	false	false	false
18000aa70	206	fs::fileobject::FsFileObjectApi::normalized_nt_path<fs::fileobject::FsFileObjectWithInstance>	undefined normalized_nt_path<fs::fileobject::FsFileObjectWithInstance>(void)	false	false	false
18000ab40	1003	fs::fileobject::normalize_ads_names	undefined normalize_ads_names(void)	false	false	false
18000af60	408	fs::fileobject::FsEventFileObject::from_callback_data	undefined from_callback_data(void)	false	false	false
18000b110	178	fs::fileobject::impl$19::stream_name	undefined stream_name(void)	false	false	false
18000b1d0	201	fs::fileobject::impl$19::relative_path	undefined relative_path(void)	false	false	false
18000b2a0	145	fs::fileobject::impl$19::opened_nt_path	undefined opened_nt_path(void)	false	false	false
18000b340	178	fs::fileobject::impl$19::final_component	undefined final_component(void)	false	false	false
18000b400	145	fs::fileobject::impl$19::normalized_nt_path	undefined normalized_nt_path(void)	false	false	false
18000b4a0	116	fs::fileobject::impl$19::cached_signing_level	undefined cached_signing_level(void)	false	false	false
18000b520	178	fs::fileobject::impl$19::extension	undefined extension(void)	false	false	false
18000b5e0	86	fs::fileobject::impl$18::volume	undefined volume(void)	false	false	false
18000b640	86	fs::fileobject::impl$16::volume	undefined volume(void)	false	false	false
18000b6a0	31	core::fmt::impl$48::fmt	undefined fmt(void)	false	false	false
18000b6c0	16	core::ptr::drop_in_place<nt_types::unicode::FixedUnicodeStringWriter>	undefined drop_in_place<nt_types::unicode::FixedUnicodeStringWriter>(void)	false	false	false
18000b6d0	272	fs::open::open_file_by_path	undefined open_file_by_path(void)	false	false	false
18000b7e0	172	fs::open::open_file_by_id_with_options	undefined open_file_by_id_with_options(void)	false	false	false
18000b890	207	fs::open::open_file_by_path_with_options	undefined open_file_by_path_with_options(void)	false	false	false
18000b960	16	core::ptr::drop_in_place<enum2$<core::result::Result<ref$<enum2$<core::result::Result<fs::espflt_types::EspFltString,i32>_>_>,tuple$<ref$<enum2$<core::result::Result<fs::espflt_types::EspFltString,i32>_>_>,enum2$<core::result::Result<fs::espflt_types::EspFltString,i32>_>_>_>_>_>	undefined drop_in_place<enum2$<core::result::Result<ref$<enum2$<core::result::Result<fs::espflt_types::EspFltString,i32>_>_>,tuple$<ref$<enum2$<core::result::Result<fs::espflt_types::EspFltString,i32>_>_>,enum2$<core::result::Result<fs::espflt_types::EspFltString,i32>_>_>_>_>_>(void)	false	false	false
18000b970	16	core::ptr::drop_in_place<enum2$<core::result::Result<ref$<enum2$<core::result::Result<fs::disk::StorageDescriptor,i32>_>_>,tuple$<ref$<enum2$<core::result::Result<fs::disk::StorageDescriptor,i32>_>_>,enum2$<core::result::Result<fs::disk::StorageDescriptor,i32>_>_>_>_>_>	undefined drop_in_place<enum2$<core::result::Result<ref$<enum2$<core::result::Result<fs::disk::StorageDescriptor,i32>_>_>,tuple$<ref$<enum2$<core::result::Result<fs::disk::StorageDescriptor,i32>_>_>,enum2$<core::result::Result<fs::disk::StorageDescriptor,i32>_>_>_>_>_>(void)	false	false	false
18000b980	183	alloc::raw_vec::RawVecInner<alloc::alloc::Global>::try_reserve<alloc::alloc::Global>	undefined try_reserve<alloc::alloc::Global>(void)	false	false	false
18000ba40	944	fs::ealist::FsEaList::from_ea_buffer	undefined from_ea_buffer(void)	false	false	false
18000bdf0	36	enum2$<fs::iobuffers::FsIoBuffer>::read_into_at	undefined read_into_at(void)	false	false	false
18000bf30	239	enum2$<fs::iobuffers::FsIoBuffer>::capture	undefined capture(void)	false	false	false
18000c020	931	fs::loopback::loopback_ea_name	undefined loopback_ea_name(void)	false	false	false
18000c3d0	414	fs::loopback::encode_loopback_reply	undefined encode_loopback_reply(void)	false	false	false
