address	type	length	references	value
1803d5120	string	18	1	================)
1803d5250	string	9	1	77777777
1803d5270	string	9	2	00000000
1803d5333	string	11	0	DriverLoad
1803d533e	string	11	0	ActivityId
1803d534a	string	6	0	Error
1803d5351	string	16	0	#ErrorTruncated
1803d5368	string	6	0	#Line
1803d5372	string	11	0	DriverLoad
1803d537d	string	11	0	ActivityId
1803d53ca	string	38	0	client port is validsys\src\server.rs
1803d5420	string	20	0	sys\src\server.rs#
1803d5434	string	32	0	UnsupportedMessageOnPortContext
1803d5457	string	30	0	EventQueueMessageOnClientPort
1803d5478	string	37	0	NonEventQueueMessageOnEventQueuePort
1803d549d	string	31	18	sys\src\provider\filesystem.rs
1803d5673	string	17	0	DriverUnloading
1803d56e7	string	15	0	  bytes failed
1803d56f6	string	27	1	library\alloc\src\alloc.rs
1803d5730	string	33	1	library\alloc\src\raw_vec\mod.rs
1803d5751	string	18	1	capacity overflow
1803d57e1	string	39	24	0123456789abcdef { , :  { , ((  })] }
1803d5a77	string	124	1	user-provided comparison function does not correctly implement a total orderlibrary\core\src\slice\sort\shared\smallsort.rs
1803d5b10	string	16	2	    0xfalsetrue
1803d5bf0	string	96	1	fixed-capacity volume name writer must fit exactly 49 UTF-16 code unitscrates\fs\src\volume.rs
1803d5c88	string	26	3	crates\fs\src\loopback.rs
1803d5d22	string	22	0	crates\fs\src\pipe.rs
1803d5d50	unicode	24	2	\SystemRoot
1803d5db8	string	32	0	crates\nt_types\src\unicode.rs
1803d5df0	string	125	24	Hash table capacity overflowC:\__w\1\.cargo\registry\src\pkgs.dev.azure.com-04623ce4b0629d08\hashbrown-0.16.1\src\raw\mod.rs
1803d5eb8	string	27	1	crates\nt_types\src\lib.rs
1803d5ef0	string	31	15	crates\string_match\src\nfa.rs
1803d6078	string	32	2	crates\string_match\src\trie.rs
1803d60c8	string	160	1	provider.register called when provider is already registeredC:\__w\1\.cargo\registry\src\pkgs.dev.azure.com-04623ce4b0629d08\tracelogging-1.2.4\src\native.rs
1803d6180	string	85	1	provider.register called simultaneously with another call to register or unregister.
1803d62ab	string	15	0	MessageRequest
1803d62ba	string	11	0	ActivityId
1803d62c6	string	6	0	Error
1803d62cd	string	16	0	#ErrorTruncated
1803d62e4	string	6	0	#Line
1803d62ee	string	15	0	MessageRequest
1803d62fd	string	11	0	ActivityId
1803d6333	string	21	0	EventQueueDisconnect
1803d6348	string	11	0	ActivityId
1803d6357	string	21	0	EventQueueDisconnect
1803d636c	string	11	0	ActivityId
1803d6378	string	11	0	ClientGuid
1803d6384	string	10	0	QueueGuid
1803d6392	string	16	0	ClearEventQueue
1803d63a2	string	11	0	ActivityId
1803d63ae	string	6	0	Error
1803d63b5	string	16	0	#ErrorTruncated
1803d63c9	string	16	0	ClearEventQueue
1803d63d9	string	11	0	ActivityId
1803d63e8	string	16	0	ClearEventQueue
1803d63f8	string	11	0	ActivityId
1803d6404	string	11	0	ClientGuid
1803d6410	string	10	0	QueueGuid
1803d641e	string	26	0	RemoveStateChangeCallback
1803d6438	string	11	0	ActivityId
1803d6447	string	26	0	RemoveStateChangeCallback
1803d6461	string	11	0	ActivityId
1803d646d	string	11	0	ClientGuid
1803d6479	string	10	0	QueueGuid
1803d64d0	string	76	0	called `Result::unwrap()` on an `Err` valuecrates\fltmgr\src\callback.rs
1803d6934	string	26	1	sys\src\elam\elam_sync.rs
1803d6968	string	30	2	Errorcrates\fltmgr\src\lib.rs
1803d6986	string	47	1	assertion failed: !wdk_sys::NT_SUCCESS(status)
1803d69e8	string	108	0	The port was returned does not match what was passed in to the connect() call. This is a bug in the driver.
1803d6aa0	string	1300	2	EventFieldPredicateDiskSourceFileSourcePipeSourceTokenSourceSidComparandThreadSourceVolumeSourceDesktopSourceMailslotSourceBinaryComparandEaListComparandStringComparandBooleanComparandContextKeySourceFileObjectSourceFileStreamSourceNumericComparandEventObjectSourceProcessRootSourceRegistryKeySourceByteRangeComparandIpAddressComparandStringListComparandKtmTransactionSourceProcessChainMatchKindSidEventObjectPropertyRegistryKeyObjectSourceBinaryEventObjectPropertyEaListEventObjectPropertyStringEventObjectPropertyBooleanEventObjectPropertyNumericEventObjectPropertyMemoryAddressComparandSecurityDescriptorComparandStringListEventObjectPropertyPathFormatMemoryAddressBasicEventObjectPropertySecurityDescriptorEventObjectPropertyDiskPropertyKindFilePropertyKindPipePropertyKindVolumePropertyKindMailslotPropertyKindDiskNotificationConfigFileNotificationConfigFileObjectPropertyKindFileStreamPropertyKindPipeNotificationConfigVolumeNotificationConfigKtmTransactionPropertyKindMailslotNotificationConfigFileObjectNotificationConfigFileStreamNotificationConfigFoTargetObjectNotificationConfigKtmTransactionNotificationConfigContextKeyUpdateDataContextKeyUpdateTypeContextKeyNumericTransformContextKeyNumericTransformSourceTryFromSliceErrorchunk size is u64 sizecrates\api-types\src\schema\collection.rs
1803d6ff0	string	396	2	FieldDataConfigFieldCaptureOptionsFieldObjectNotificationConfigTokenPropertyKindThreadPropertyKindTokenNotificationConfigThreadNotificationConfigDesktopPropertyKindProcessPropertyKindDesktopNotificationConfigProcessNotificationConfigRegistryKeyPropertyKindboolRegistryKeyNotificationConfigRegistryKeyObjectPropertyKindRegistryKeyObjectNotificationConfigcrates\elam-interop\src\notification.rs
1803d7198	string	42	1	crates\elam-interop\src\shared_section.rs
1803d71e0	string	168	0	InsufficientBufferInvalidDataStringDataTooLongByteSliceTooLongInvalidTargetObjectConfigurationTargetFileObjectNotPresentProcessChainTooLonglib\src\notification\mod.rs
1803d7b70	string	64	0	EventObjectTypeMismatchSerializeInvalidPropertyIdExpectedClient
1803d9668	string	84	45	mid > lenEventContextFilterEvaluationContextKeyResolutionEmptySubrulesInternalError
1803d978b	string	22	0	FilterEvaluationError
1803d97a1	string	11	0	ClientGuid
1803d97ad	string	9	0	RuleGuid
1803d97b7	string	10	0	EventType
1803d97c2	string	7	0	Reason
1803d97e0	string	23	1	lib\src\rule\engine.rs
1803db2e0	string	120	1	PersistedStoreInternalClientCreateClientObjectCreateRuleUpdateRulesRegisterTrustedThreadBddlib\src\persistence\store.rs
1803db358	unicode	16	4	boot_id
1803db432	string	44	48	event type has entrylib\src\client\rules.rs
1803db538	string	40	1	rundown is validlib\src\client\state.rs
1803db590	string	23	11	rundown should succeed
1803db638	unicode	92	1	\Registry\Machine\System\Wesp\PersistedStore*
1803db740	string	8	1	is some
1803db760	string	276	0	FlagsRemainingDesiredAccessPreviouslyGrantedAccessOriginalGrantedAccessSubjectTokenInfoIoFlagsRequestorThreadRequestorProcessTargetFileObjectIrpFlagsOperationFlagsRequestorModeIsKernelModeIoPriorityHintIsPresentShareNameUserSidPortreentrant initlibrary\core\src\cell\once.rs
1803db890	string	2620	0	InvalidFieldevent_typefieldTypeMismatchexpectedactualNotSupportedPolymorphicFieldMismatchBinaryOffsetTooLargeNotPresentFeatureDisabledPathMemoryQueryOpenRegistryKeyHandleQueryRegistryKeyValueFieldIdNestedFieldroot_idsubfieldEventFieldIdEventFieldMismatchArgumentResolutionPropertyQueryContextKeyNotFoundContextKeyTypeMismatchkeyEventFieldNotAvailableDivisionByZeroStringComparandTooLongRegDataNotFoundInvalidStringLayoutExpectedLhsBinaryDataComparandExpectedRhsBinaryDataComparandExpectedLhsStringDataComparandExpectedRhsStringDataComparandExpectedLhsNumericDataComparandExpectedRhsNumericDataComparandExpectedCollectionComparandExpectedLhsPathComparandExpectedPatternComparandPatternMatchFailedCollectionUnresolvedFoTargetObjectExpectedRangeComparandExpectedLhsIpAddressComparandExpectedRhsIpAddressComparandQueryOwnerSidFailedQueryPrimaryGroupSidFailedQueryTokenGroupsFailedQueryTokenPrivilegesFailedOpenTokenHandleFailedLhsObjectAbsentPropertyAbsentESP_EVENT_TYPE_NONEESP_EVENT_TYPE_THREAD_CREATEESP_EVENT_TYPE_THREAD_STARTESP_EVENT_TYPE_THREAD_TERMINATEESP_EVENT_TYPE_PROCESS_CREATEESP_EVENT_TYPE_PROCESS_TERMINATEESP_EVENT_TYPE_PROCESS_LOAD_IMAGEESP_EVENT_TYPE_FO_CREATEESP_EVENT_TYPE_FO_OPENESP_EVENT_TYPE_FO_READESP_EVENT_TYPE_FO_WRITEESP_EVENT_TYPE_FO_CLEANUPESP_EVENT_TYPE_FS_CREATE_FILE_SECTIONESP_EVENT_TYPE_FS_QUERY_FILE_INFORMATIONESP_EVENT_TYPE_FS_SET_FILE_INFORMATIONESP_EVENT_TYPE_FS_SET_FILE_SECURITYESP_EVENT_TYPE_FS_QUERY_DIRECTORY_INFORMATIONESP_EVENT_TYPE_FS_FSCTL_FILEESP_EVENT_TYPE_FS_SET_EAESP_EVENT_TYPE_FS_QUERY_OPEN_FILEESP_EVENT_TYPE_FS_LOCK_FILEESP_EVENT_TYPE_FS_UNLOCK_FILEESP_EVENT_TYPE_KTM_TRANSACTION_COMMITESP_EVENT_TYPE_KTM_TRANSACTION_ROLLBACKESP_EVENT_TYPE_VOLUME_MOUNTESP_EVENT_TYPE_VOLUME_DISMOUNTESP_EVENT_TYPE_VOLUME_FSCTLESP_EVENT_TYPE_PIPE_CREATEESP_EVENT_TYPE_MAILSLOT_CREATEESP_EVENT_TYPE_REG_CREATE_KEYESP_EVENT_TYPE_REG_OPEN_KEYESP_EVENT_TYPE_REG_DELETE_KEYESP_EVENT_TYPE_REG_SET_VALUE_KEYESP_EVENT_TYPE_REG_DELETE_VALUE_KEYESP_EVENT_TYPE_REG_RENAME_KEYESP_EVENT_TYPE_REG_REPLACE_KEYESP_EVENT_TYPE_REG_RESTORE_KEYESP_EVENT_TYPE_REG_SET_KEY_SECURITYESP_EVENT_TYPE_REG_QUERY_KEYESP_EVENT_TYPE_REG_QUERY_VALUE_KEYESP_EVENT_TYPE_REG_SAVE_KEYESP_EVENT_TYPE_REG_LOAD_KEYESP_EVENT_TYPE_REG_ENUM_KEYESP_EVENT_TYPE_REG_ENUM_VALUE_KEYESP_EVENT_TYPE_OB_CREATE_HANDLEESP_EVENT_TYPE_OB_DUPLICATE_HANDLEESP_EVENT_TYPE_BOOT_LOAD_DRIVERNumericBoolStringStringListBinarySidEcpListEaListByteRangeThreadProcessFileObjectFileStreamFileVolumeDiskPipeMailslotKtmTransactionDesktopRegistryKeyRegistryKeyObjectTokenMemoryAddressBasicIoOperationRemoteClientAccessStateIpAddressSecurityDescriptor
1803dcc40	string	33	1	lib\src\event\args\fileobject.rs
1803dcc80	string	27	2	lib\src\event\args\disk.rs
1803dccd0	string	29	2	lib\src\event\args\volume.rs
1803dce40	string	30	2	lib\src\event\args\desktop.rs
1803dce90	string	31	4	lib\src\event\args\registry.rs
1803dcf42	string	27	1	lib\src\event_queue\mod.rs
1803dcf78	string	64	5	assertion failed: !self.is_opened()crates\fs\src\fileobject.rs
1803dd030	string	436	0	KeySizeMismatchInvalidKeySizeKeySizeTooLargeIdAlreadyExistsKeyAlreadyExistsIdNotFoundReadIntoTypeNullUpdateEntryCollectionMaxSizeExceededPersistenceErrorExpectedBinaryCollectionExpectedStringCollectionExpectedIntegerCollectionInvalidCollectionUpdatesStringPatternInvalidLookupKeyStringKeyNotAlignedRtlDowncaseUnicodeStringCreateLookasideListExpectedFixedSizeCollectionEmptyUpdatescallout runs exactly oncecrates\nt_types\src\stack.rs
1803dd200	string	52	0	thread never took rundownthread never took the port
